question,answer,source,focus_area
What is (are) Aphasia ?,"Anyone can have aphasia at any age, but most people with aphasia are middle-aged or older. Most aphasia happens suddenly from a stroke or brain injury. Aphasia from a brain tumor or other brain disorder may develop slowly over time.","MedlinePlus (NLM, public domain)",Aphasia
How to diagnose Aphasia ?,"If a health care provider sees signs of aphasia, the provider will usually: • Test the person's ability to understand language and speech. This includes asking questions and checking to see if the person can follow simple commands. • Order an imaging scan to see if there's a brain injury and what part of the brain is damaged. Possible tests include: • MRI • CT scan If imaging shows signs of aphasia, more tests may be needed. These tests measure how much the brain damage has affected the ability to talk, read, write, and understand. In most cases, the tests are done by a speech-language pathologist or speech therapist (a specialist who treats speech and communication disorders).","MedlinePlus (NLM, public domain)",Aphasia
What are the treatments for Aphasia ?,"Some people fully recover from aphasia without treatment. But most people should begin speech-language therapy to treat aphasia as soon as possible. Treatment may be one-on-one with a speech therapist or in a group. Therapy using a computer may also be helpful. The specific therapy depends on the type of language loss that a person has. It may include exercises in reading, writing, following directions, and repeating what the therapist says. Therapy may also include learning how to communicate with gestures, pictures, smartphones, or other electronic devices. Family participation may be an important part of speech therapy. Family members can learn to help with recovery in many ways, such as: • Using simpler language • Including the person with aphasia in conversations • Repeating or writing down key words to help communicate more clearly How much a person recovers depends on many things, including: • What caused the brain injury • What part of the brain was hurt • How badly and how much of the brain was hurt • The age and health of the person","MedlinePlus (NLM, public domain)",Aphasia
How to prevent Aphasia ?,"You can help prevent aphasia by: • Making heart-healthy lifestyle changes to lower your chance of having: • A stroke • Heart disease • Vascular disease (problems with your blood vessels) • Protecting your brain from injury: • Wearing the right helmet for sports safety, such as when riding a bike • Taking action to prevent falls • Always wearing your seatbelt and driving safely NIH: National Institute on Deafness and Other Communication Disorders","MedlinePlus (NLM, public domain)",Aphasia
What is (are) Cerebellar Disorders ?,"When you play the piano or hit a tennis ball you are activating the cerebellum. The cerebellum is the area of the brain that controls coordination and balance. Problems with the cerebellum include: • Cancer • Genetic disorders • Ataxias - failure of muscle control in the arms and legs that result in movement disorders • Degeneration - disorders caused by brain cells decreasing in size or wasting away Treatment of cerebellar disorders depends on the cause. In some cases, there is no cure but treatment may help with symptoms. NIH: National Institute of Neurological Disorders and Stroke","MedlinePlus (NLM, public domain)",Cerebellar Disorders
What is (are) Genetic Brain Disorders ?,"A genetic brain disorder is caused by a variation or a mutation in a gene. A variation is a different form of a gene. A mutation is a change in a gene. Genetic brain disorders affect the development and function of the brain. Some genetic brain disorders are due to random gene mutations or mutations caused by environmental exposure, such as cigarette smoke. Other disorders are inherited, which means that a mutated gene or group of genes is passed down through a family. They can also be due to a combination of both genetic changes and other outside factors. Some examples of genetic brain disorders include: • Leukodystrophies • Phenylketonuria • Tay-Sachs disease • Wilson disease Many people with genetic brain disorders fail to produce enough of certain proteins that influence brain development and function. These brain disorders can cause serious problems that affect the nervous system. Some have treatments to control symptoms. Some are life-threatening.","MedlinePlus (NLM, public domain)",Genetic Brain Disorders
What is (are) Headache ?,"Almost everyone has had a headache. Headache is the most common form of pain. It's a major reason people miss days at work or school or visit the doctor. The most common type of headache is a tension headache. Tension headaches are due to tight muscles in your shoulders, neck, scalp and jaw. They are often related to stress, depression or anxiety. You are more likely to get tension headaches if you work too much, don't get enough sleep, miss meals, or use alcohol. Other common types of headaches include migraines, cluster headaches, and sinus headaches. Most people can feel much better by making lifestyle changes, learning ways to relax and taking pain relievers. Not all headaches require a doctor's attention. But sometimes headaches warn of a more serious disorder. Let your health care provider know if you have sudden, severe headaches. Get medical help right away if you have a headache after a blow to your head, or if you have a headache along with a stiff neck, fever, confusion, loss of consciousness, or pain in the eye or ear. NIH: National Institute of Neurological Disorders and Stroke","MedlinePlus (NLM, public domain)",Headache
What is (are) Botox ?,"Botox is a drug made from a toxin produced by the bacterium Clostridium botulinum. It's the same toxin that causes a life-threatening type of food poisoning called botulism. Doctors use it in small doses to treat health problems, including: • Temporary smoothing of facial wrinkles and improving your appearance • Severe underarm sweating • Cervical dystonia - a neurological disorder that causes severe neck and shoulder muscle contractions • Blepharospasm - uncontrollable blinking • Strabismus - misaligned eyes • Chronic migraine • Overactive bladder Botox injections work by weakening or paralyzing certain muscles or by blocking certain nerves. The effects last about three to twelve months, depending on what you are treating. The most common side effects are pain, swelling, or bruising at the injection site. You could also have flu-like symptoms, headache, and upset stomach. Injections in the face may also cause temporary drooping eyelids. You should not use Botox if you are pregnant or breastfeeding.","MedlinePlus (NLM, public domain)",Botox
What is (are) Chronic Pain ?,"Pain is a signal from your nervous system that something may be wrong. It is an unpleasant feeling, such as a prick, tingle, sting, burn, or ache. Pain may be sharp or dull. You may feel pain in one area of your body or all over. Each person feels pain differently, even if the reason for the pain is the same. Pain might be acute or chronic. The type of pain is based on how long and how often you have pain. Acute pain starts suddenly and goes away when the cause is treated or healed. This pain lets you know that you may be injured or have a problem you need to take care of. Chronic pain lasts longer than three months or the time in which you should have healed. If you have chronic pain, it can occur most days or every day and may last for weeks, months, or even years. It can affect all aspects of daily life, including your mood and relationships. Treatment may not get rid of chronic pain, but it can help with your symptoms.","MedlinePlus (NLM, public domain)",Chronic Pain
What causes Chronic Pain ?,"Sometimes, acute pain can become chronic pain. The original cause may have been an injury or infection, or you may have an ongoing cause of pain, such as arthritis or cancer. In some cases, there is no clear cause. Environmental factors and psychological factors such as mood and stress can make chronic pain worse.","MedlinePlus (NLM, public domain)",Chronic Pain
What are the symptoms of Chronic Pain ?,"Since people feel pain in different ways, two people could have the same issue, but each may have different symptoms. Chronic pain can occur anywhere in your body and may cause other symptoms such as fatigue, mood changes, or difficulty sleeping. If you have depression or stress, it may make chronic pain worse.","MedlinePlus (NLM, public domain)",Chronic Pain
What is (are) Chronic Pain ?,"Many older adults have chronic pain. Women also report having more chronic pain than men, and they are at a greater risk for many pain conditions. Some people have two or more chronic pain conditions. You may be more likely to have chronic pain if you have certain medical conditions such as: • Headaches or migraines • Cancer • Fibromyalgia • Arthritis • Nerve damage • Back problems","MedlinePlus (NLM, public domain)",Chronic Pain
How to diagnose Chronic Pain ?,"Chronic pain lasts three months or longer or when pain continues after your body has healed. If the cause of your pain is unknown, your health care provider may: • Ask you about your medical history • Ask you to describe the pain and how it affects your life • Do a physical exam • Order blood tests or other medical tests","MedlinePlus (NLM, public domain)",Chronic Pain
What are the treatments for Chronic Pain ?,"Chronic pain is not always curable, but treatments can help. Treatments may include medicines, including pain relievers. There are also non-drug treatments, such as acupuncture, physical therapy, and sometimes surgery. Depending on the cause of your pain and your symptoms, your provider may also recommend lifestyle changes which may include suggestions for: • Improving mental health • Managing stress • Getting to and staying at a healthy weight • Adding low-impact exercise","MedlinePlus (NLM, public domain)",Chronic Pain
What is (are) Multiple Sclerosis ?,"Multiple sclerosis (MS) is a nervous system disease that affects your brain and spinal cord. It damages the myelin sheath, the material that surrounds and protects your nerve cells. This damage slows down or blocks messages between your brain and your body, leading to the symptoms of MS. They can include: • Visual disturbances • Muscle weakness • Trouble with coordination and balance • Sensations such as numbness, prickling, or ""pins and needles"" • Thinking and memory problems No one knows what causes MS. It may be an autoimmune disease, which happens when your immune system attacks healthy cells in your body by mistake. Multiple sclerosis affects women more than men. It often begins between the ages of 20 and 40. Usually, the disease is mild, but some people lose the ability to write, speak, or walk. There is no specific test for MS. Doctors use a medical history, physical exam, neurological exam, MRI, and other tests to diagnose it. There is no cure for MS, but medicines may slow it down and help control symptoms. Physical and occupational therapy may also help. NIH: National Institute of Neurological Disorders and Stroke","MedlinePlus (NLM, public domain)",Multiple Sclerosis
What is (are) Optic Nerve Disorders ?,"The optic nerve is a bundle of more than 1 million nerve fibers that carry visual messages. You have one connecting the back of each eye (your retina) to your brain. Damage to an optic nerve can cause vision loss. The type of vision loss and how severe it is depends on where the damage occurs. It may affect one or both eyes. There are many different types of optic nerve disorders, including: • Glaucoma is a group of diseases that are the leading cause of blindness in the United States. Glaucoma usually happens when the fluid pressure inside the eyes slowly rises and damages the optic nerve. • Optic neuritis is an inflammation of the optic nerve. Causes include infections and immune-related illnesses such as multiple sclerosis. Sometimes the cause is unknown. • Optic nerve atrophy is damage to the optic nerve. Causes include poor blood flow to the eye, disease, trauma, or exposure to toxic substances. • Optic nerve head drusen are pockets of protein and calcium salts that build up in the optic nerve over time Contact your health care provider if you are having vision problems. Tests for optic nerve disorders may include eye exams, ophthalmoscopy (an examination of the back of your eye), and imaging tests. Treatment depends on which disorder that you have. With some optic nerve disorders, you may get your vision back. With others, there is no treatment, or treatment may only prevent further vision loss.","MedlinePlus (NLM, public domain)",Optic Nerve Disorders
What is (are) Steroids ?,"You may have heard of anabolic steroids, which can have harmful effects. But there's another type of steroid - sometimes called a corticosteroid - that treats a variety of problems. These steroids are similar to hormones that your adrenal glands make to fight stress associated with illnesses and injuries. They reduce inflammation and affect the immune system. You may need to take corticosteroids to treat: • Arthritis • Asthma • Autoimmune diseases such as lupus and multiple sclerosis • Skin conditions such as eczema and rashes • Some kinds of cancer Steroids are strong medicines, and they can have side effects, including weakened bones and cataracts. Because of this, you usually take them for as short a time as possible.","MedlinePlus (NLM, public domain)",Steroids
What is (are) Trigeminal Neuralgia ?,"Trigeminal neuralgia (TN) is a type of chronic pain that affects your face. It causes extreme, sudden burning or shock-like pain. It usually affects one side of the face. Any vibration on your face, even from talking, can set it off. The condition may come and go, disappearing for days or even months. But the longer you have it, the less often it goes away. TN usually affects people over 50, especially women. The cause is probably a blood vessel pressing on the trigeminal nerve, one of the largest nerves in the head. Tumors and multiple sclerosis can also cause TN, but in some cases the cause is unknown. There is no specific test for TN. It can be hard to diagnose, since many other conditions can cause facial pain. Treatment options include medicines, surgery, and complementary techniques. NIH: National Institute of Neurological Disorders and Stroke","MedlinePlus (NLM, public domain)",Trigeminal Neuralgia
What is (are) Urinary Tract Infections ?,"The urinary system is the body's drainage system for removing wastes and extra water. It includes two kidneys, two ureters, a bladder, and a urethra. Urinary tract infections (UTIs) are the second most common type of infection in the body. You may have a UTI if you notice: • Pain or burning when you urinate • Fever, tiredness, or shakiness • An urge to urinate often • Pressure in your lower belly • Urine that smells bad or looks cloudy or reddish • Pain in your back or side below the ribs People of any age or sex can get UTIs. But about four times as many women get UTIs as men. You're also at higher risk if you have diabetes, need a tube to drain your bladder, or have a spinal cord injury. If you think you have a UTI it is important to see your doctor. Your doctor can tell if you have a UTI with a urine test. Treatment is with antibiotics. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Urinary Tract Infections
What is (are) Kidney Transplantation ?,"A kidney transplant is an operation that places a healthy kidney in your body. The transplanted kidney takes over the work of the two kidneys that failed, so you no longer need dialysis. During a transplant, the surgeon places the new kidney in your lower abdomen and connects the artery and vein of the new kidney to your artery and vein. Often, the new kidney will start making urine as soon as your blood starts flowing through it. But sometimes it takes a few weeks to start working. Many transplanted kidneys come from donors who have died. Some come from a living family member. The wait for a new kidney can be long. If you have a transplant, you must take drugs for the rest of your life, to keep your body from rejecting the new kidney. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Kidney Transplantation
What is (are) Liver Transplantation ?,"Your liver is the largest organ inside your body. It helps your body digest food, store energy, and remove poisons. You cannot live without a liver that works. If your liver fails, your doctor may put you on a waiting list for a liver transplant. Doctors do liver transplants when other treatment cannot keep a damaged liver working. During a liver transplantation, the surgeon removes the diseased liver and replaces it with a healthy one. Most transplant livers come from a donor who has died. Sometimes there is a living donor. This is when a healthy person donates part of his or her liver for a specific patient. The most common reason for a transplant in adults is cirrhosis. This is scarring of the liver, caused by injury or long-term disease. The most common reason in children is biliary atresia, a disease of the bile ducts. If you have a transplant, you must take drugs the rest of your life to help keep your body from rejecting the new liver. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Liver Transplantation
What is (are) Pancreatic Diseases ?,"The pancreas is a gland behind your stomach and in front of your spine. It produces juices that help break down food and hormones that help control blood sugar levels. Problems with the pancreas can lead to many health problems. These include: • Pancreatitis, or inflammation of the pancreas: This happens when digestive enzymes start digesting the pancreas itself • Pancreatic cancer • Cystic fibrosis, a genetic disorder in which thick, sticky mucus can also block tubes in your pancreas The pancreas also plays a role in diabetes. In type 1 diabetes, the beta cells of the pancreas no longer make insulin because the body's immune system has attacked them. In type 2 diabetes, the pancreas loses the ability to secrete enough insulin in response to meals.","MedlinePlus (NLM, public domain)",Pancreatic Diseases
What is (are) Pancreatic Cancer ?,"The pancreas is a gland behind your stomach and in front of your spine. It produces the juices that help break down food and the hormones that help control blood sugar levels. Pancreatic cancer usually begins in the cells that produce the juices. Some risk factors for developing pancreatic cancer include: • Smoking • Long-term diabetes • Chronic pancreatitis • Certain hereditary disorders Pancreatic cancer is hard to catch early. It doesn't cause symptoms right away. When you do get symptoms, they are often vague or you may not notice them. They include yellowing of the skin and eyes, pain in the abdomen and back, weight loss and fatigue. Also, because the pancreas is hidden behind other organs, health care providers cannot see or feel the tumors during routine exams. Doctors use a physical exam, blood tests, imaging tests, and a biopsy to diagnose it. Because it is often found late and it spreads quickly, pancreatic cancer can be hard to treat. Possible treatments include surgery, radiation, chemotherapy, and targeted therapy. Targeted therapy uses drugs or other substances that attack specific cancer cells with less harm to normal cells. NIH: National Cancer Institute","MedlinePlus (NLM, public domain)",Pancreatic Cancer
What is (are) Celiac Disease ?,"Celiac disease is a chronic (long-term) digestive and immune disorder that damages your small intestine. The damage may prevent your body from absorbing vitamins, minerals, and other nutrients from the food you eat. This can lead to malnutrition and other serious health problems Celiac disease is triggered by eating foods that contain gluten. Gluten is a protein found in wheat, barley, rye, and other grains. It may also be in other products like vitamins and supplements, hair and skin products, toothpastes, and lip balm. Celiac disease is different from gluten sensitivity. Both involve problems with gluten and can cause some of the same symptoms, such as abdominal (belly) pain and fatigue. But gluten sensitivity does not damage the small intestine like celiac disease does. Wheat allergy, a type of food allergy, is also different. With both celiac disease and wheat allergy, your immune system is reacting to wheat. But with wheat allergy, you can have some different symptoms, such as itchy eyes or trouble breathing. And a wheat allergy will not cause long-term damage to the small intestine.","MedlinePlus (NLM, public domain)",Celiac Disease
What causes Celiac Disease ?,The exact cause of celiac disease is not known. Research suggests that celiac disease only happens in people who have certain genes and eat food that contains gluten. Researchers are studying other factors that may play a role in causing the disease.,"MedlinePlus (NLM, public domain)",Celiac Disease
What is (are) Celiac Disease ?,"Celiac disease is more common if you: • Have a family member who has the disease • Have Down syndrome, Turner syndrome, or Williams syndrome • Are White • Are female","MedlinePlus (NLM, public domain)",Celiac Disease
What are the symptoms of Celiac Disease ?,"The symptoms of celiac disease can be different from person to person. Sometimes the symptoms may come and go. Some people may not notice any symptoms. Some of the possible symptoms affect your digestive system. Digestive symptoms are more common in children than in adults. The digestive symptoms include: • Bloating (feeling fullness or swelling in your belly) • Chronic (long-term) diarrhea or greasy, bulky, unusually bad-smelling stool (poop) • Constipation • Gas • Lactose intolerance because of damage to the small intestine • Nausea and vomiting • Pain in the abdomen (belly) • Weight loss in adults, or not enough weight gain in children Some people with celiac disease have symptoms that affect other parts of the body, such as: • Fatigue • Depression and anxiety • Irritability (in children) • Dermatitis herpetiformis, an itchy rash with blisters (mainly in adults) • Bone or joint pain • Symptoms involving the mouth, such as canker sores or dry mouth","MedlinePlus (NLM, public domain)",Celiac Disease
What is (are) Celiac Disease ?,"Over time, celiac disease can cause other health problems, especially if it is not treated. These problems can include: • Malnutrition • Anemia, especially iron-deficiency anemia • Bone loss • Nervous system problems such as headaches, balance problems, or peripheral neuropathy • Reproductive problems, such as missed menstrual periods and miscarriages in women and infertility in men and women","MedlinePlus (NLM, public domain)",Celiac Disease
How to diagnose Celiac Disease ?,"If you have symptoms of celiac disease, your health care provider will look for signs that you might have celiac disease. To do this, your provider will get your medical and family history and do a physical exam. If your provider thinks that you could have celiac disease, you will have some tests. Providers most often use blood tests and biopsies of the small intestine to diagnose celiac disease. The biopsy would be done during an upper gastrointestinal (GI) endoscopy. For this procedure, your provider uses an endoscope (a flexible tube with a camera) to see the lining of your esophagus, stomach, and small intestine. It also allows your provider to take a sample of tissue for a biopsy.","MedlinePlus (NLM, public domain)",Celiac Disease
What are the treatments for Celiac Disease ?,"The treatment for celiac disease is following a gluten-free diet for the rest of your life. Sticking with a gluten-free diet will treat or prevent many of the symptoms and other health problems caused by celiac disease. In most cases, it can also heal damage in the small intestine and prevent more damage. Your provider may refer you to a registered dietician (a nutrition expert) who can help you learn how to eat a healthy diet without gluten. You will also need to avoid all hidden sources of gluten, such as certain supplements, cosmetics, toothpaste, etc. Reading product labels can sometimes help you avoid gluten. If a label doesn't tell you what is in a product, check with the company that makes the product for an ingredients list. Don't just assume that a product is gluten-free if it doesn't mention it. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Celiac Disease
What is (are) Gluten Sensitivity ?,"Gluten is a protein found in wheat, rye, and barley. It is found mainly in foods. But it may also be in other products like medicines, vitamins, and supplements. People with gluten sensitivity have problems with gluten. Gluten sensitivity may sometimes be called non-celiac gluten sensitivity or gluten intolerance. Gluten sensitivity is different from celiac disease. Both involve problems with gluten. They can also cause some of the same symptoms, such as abdominal (belly) pain and fatigue. But celiac disease causes damage to the small intestine. Gluten sensitivity does not. Wheat allergy, a type of food allergy, is also different from gluten sensitivity and celiac disease. A wheat allergy can cause some different symptoms, such as itchy eyes or trouble breathing. A wheat allergy does not damage the small intestine. In addition to abdominal pain and fatigue, gluten sensitivity can cause digestive symptoms. They may include gas, diarrhea, and constipation. You may also have other symptoms such as headaches, joint pain, and rashes. Researchers are still learning more about gluten sensitivity. If your health care provider thinks you have it, they may suggest that you stop eating gluten to see if your symptoms go away. However, you should first be tested to make sure that you don't have celiac disease. This may be done with a blood test or biopsies of the small intestine. The symptoms of gluten sensitivity usually get better with a gluten-free diet. But it's important to make sure that you are still getting enough vitamins, minerals, and fiber. Your provider or a dietician can help you plan your diet. Dept. of Health and Human Services Office on Women's Health","MedlinePlus (NLM, public domain)",Gluten Sensitivity
What is (are) Malabsorption Syndromes ?,"Your small intestine does most of the digesting of the foods you eat. If you have a malabsorption syndrome, your small intestine cannot absorb nutrients from foods. Causes of malabsorption syndromes include: • Celiac disease • Lactose intolerance • Short bowel syndrome. This happens after surgery to remove half or more of the small intestine. You might need the surgery if you have a problem with the small intestine from a disease, injury, or birth defect. • Whipple disease, a rare bacterial infection • Genetic diseases • Certain medicines Symptoms of different malabsorption syndromes can vary. They often include chronic diarrhea, abnormal stools, weight loss, and gas. Your doctor may use lab, imaging, or other tests to make a diagnosis. Treatment of malabsorption syndromes depends on the cause.","MedlinePlus (NLM, public domain)",Malabsorption Syndromes
What is (are) Irritable Bowel Syndrome ?,"Irritable bowel syndrome (IBS) is a problem that affects the large intestine. It can cause abdominal cramping, bloating, and a change in bowel habits. Some people with the disorder have constipation. Some have diarrhea. Others go back and forth between the two. Although IBS can cause a great deal of discomfort, it does not harm the intestines. IBS is common. It affects about twice as many women as men and is most often found in people younger than 45 years. No one knows the exact cause of IBS. There is no specific test for it. Your doctor may run tests to be sure you don't have other diseases. These tests may include stool sampling tests, blood tests, and x-rays. Your doctor may also do a test called a sigmoidoscopy or colonoscopy. Most people diagnosed with IBS can control their symptoms with diet, stress management, probiotics, and medicine. NIH: National Institute of Diabetes and Digestive and Kidney Diseases","MedlinePlus (NLM, public domain)",Irritable Bowel Syndrome
What is (are) Fibromyalgia ?,"Fibromyalgia is chronic (long-lasting) condition that causes pain all over the body, fatigue, and other symptoms. There is no cure, but treatments can help with the symptoms.","MedlinePlus (NLM, public domain)",Fibromyalgia
What causes Fibromyalgia ?,"The exact cause of fibromyalgia is unknown. Studies of the brains of people with fibromyalgia found that they seem to process pain differently than people who don't have it. They may feel pain when others do not, and they may also have a more severe reaction to pain. Fibromyalgia can run in families, so genetics may also play a role. Other factors may also be involved, such as having certain diseases that cause pain.","MedlinePlus (NLM, public domain)",Fibromyalgia
Who is at risk for Fibromyalgia? ?,"Anyone can get fibromyalgia, but it is more common in: • Women; they are twice as likely to have fibromyalgia • Middle-aged people; your chance of having it increases as you get older • People with certain diseases, such as lupus, rheumatoid arthritis, osteoarthritis or ankylosing spondylitis • People who have a family member with fibromyalgia","MedlinePlus (NLM, public domain)",Fibromyalgia
What are the symptoms of Fibromyalgia ?,"The main symptoms of fibromyalgia are: • Chronic (long-lasting) pain and stiffness all over the body. People often describe it as aching, burning, or throbbing. • Fatigue and tiredness. • Trouble sleeping. Other symptoms may include: • Problems with thinking, memory, and concentration (sometimes called ""fibro fog"") • Muscle and joint stiffness • Numbness or tingling in the arms and legs • Sensitivity to light, noise, odors, and temperature People who have fibromyalgia are also more likely to have certain diseases, including: • Anxiety • Depression • Headaches, including migraines • Irritable bowel syndrome • Pain in the face or jaw, including disorders of the jaw know as temporomandibular joint syndrome (TMJ)","MedlinePlus (NLM, public domain)",Fibromyalgia
How to diagnose Fibromyalgia ?,"Fibromyalgia can be hard to diagnose. It sometimes takes visits to several different health care providers to get a diagnosis. One problem is that there isn't a specific test for it. And the main symptoms, pain and fatigue, are common in many other conditions. Providers have to rule out other causes of the symptoms before making a diagnosis of fibromyalgia. This is called making a differential diagnosis. To find out if you have fibromyalgia, your provider: • Will take your medical history, including asking detailed questions about your symptoms • Will do a physical exam • May order x-rays and blood tests to rule out other conditions","MedlinePlus (NLM, public domain)",Fibromyalgia
What are the treatments for Fibromyalgia ?,"Not all providers are familiar with fibromyalgia and its treatment. You should see a provider or team of providers who specialize in the treatment of fibromyalgia. There is no cure for fibromyalgia, so treatment focuses on relieving the symptoms. Providers usually use a combination of treatments, including medicines, lifestyle changes, talk therapy, and complementary therapies: • Medicines • Certain antidepressants and anti-seizure medicines, which may help with pain or sleep problems. • Pain relievers. • Lifestyle changes • Getting enough sleep. • Getting regular physical activity. If you have not already been active, start slowly and gradually increase how much activity you get. You may want to see a physical therapist, who can help you create a plan that is right for you. • Learning how to manage stress. • Learning to pace yourself. If you do too much, it can make your symptoms worse. So you need to learn to balance being active with your need for rest. • Talk therapy, such as cognitive behavioral therapy (CBT), can help you learn strategies to deal with pain, stress, and negative thoughts. If you also have depression along with your fibromyalgia, talk therapy can help with that too. • Complementary therapies have helped some people with the symptoms of fibromyalgia. But researchers need to do more studies to show which ones are effective. You could consider trying them, but you should check with your provider first. These therapies include: • Mindfulness meditation. • Biofeedback, which uses electronic devices to measure body functions such as breathing and heart rate. This teaches you to be more aware of your body functions so you can learn to control them. • Movement therapies such as yoga and tai chi. • Massage therapy. • Acupuncture.","MedlinePlus (NLM, public domain)",Fibromyalgia
What is (are) Myalgic Encephalomyelitis/Chronic Fatigue Syndrome ?,"Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS) is a serious, long-term illness that affects many body systems. Another name for it is chronic fatigue syndrome (CFS). ME/CFS can often make you unable to do your usual activities. Sometimes you may not even be able to get out of bed.","MedlinePlus (NLM, public domain)",Myalgic Encephalomyelitis/Chronic Fatigue Syndrome
What causes Myalgic Encephalomyelitis/Chronic Fatigue Syndrome ?,"Researchers don't yet know what causes ME/CFS. There may be more than one potential cause. It is also possible that two or more triggers might work together to cause the illness. Researchers are studying many possible causes, including: • Infections • Immune system changes • Physical or emotional stress • Changes in the way cells in the body get their energy • Genetics; the illness can sometimes run in families","MedlinePlus (NLM, public domain)",Myalgic Encephalomyelitis/Chronic Fatigue Syndrome
What is (are) Myalgic Encephalomyelitis/Chronic Fatigue Syndrome ?,"Anyone can get ME/CFS, but it is most common in people between 40 and 60 years old. Adult women are more likely to develop it than adult men.","MedlinePlus (NLM, public domain)",Myalgic Encephalomyelitis/Chronic Fatigue Syndrome
What are the symptoms of Myalgic Encephalomyelitis/Chronic Fatigue Syndrome ?,"The primary, or core, symptoms of ME/CFS are: • Not being able to do activities that you used to do before the illness, along with severe fatigue. The fatigue must last six months or longer, and it is not improved by rest. • Post-exertional malaise (PEM), which means that your symptoms get worse after any physical or mental activity. • Sleep problems. Along with the primary symptoms, to be diagnosed with ME/CFS, you need to have one or both of these symptoms: • Problems with thinking and memory. • Worsening of symptoms while standing or sitting upright. This is called orthostatic intolerance. It can cause you to feel lightheaded, dizzy, weak, or faint while standing or sitting up. Some of the other symptoms that ME/CFS can cause include: • Pain, including muscle pain, joint pain, and headaches • Sore throat • Tender lymph nodes (glands) in the neck or armpits • Digestive issues, like irritable bowel syndrome • Chills and night sweats • Allergies and sensitivities to foods, odors, chemicals, light, or noise ME/CFS can be unpredictable. Your symptoms may come and go. They may change over time; sometimes they might get better, and other times they may get worse.","MedlinePlus (NLM, public domain)",Myalgic Encephalomyelitis/Chronic Fatigue Syndrome
How to diagnose Myalgic Encephalomyelitis/Chronic Fatigue Syndrome ?,"ME/CFS can be difficult to diagnose. There is no specific test for ME/CFS, and other illnesses can cause similar symptoms. Your health care provider has to rule out other diseases before making a diagnosis of ME/CFS. Your provider will do a thorough medical exam, which will include: • Asking about your medical history and your family's medical history. • Asking about your current illness, including your symptoms. Some questions they may ask could include how often you have symptoms, how bad they are, how long they have lasted, and how they affect your life. • Thorough physical and mental status exams. • Blood, urine, or other tests to check for other illnesses which could be causing your symptoms. Your provider may also ask you to see a specialist to check for other conditions which can cause similar symptoms.","MedlinePlus (NLM, public domain)",Myalgic Encephalomyelitis/Chronic Fatigue Syndrome
What are the treatments for Myalgic Encephalomyelitis/Chronic Fatigue Syndrome ?,"There is no cure or approved treatment for ME/CFS, but you may be able to treat or manage some of your symptoms. You, your family, and your provider should work together to decide on a plan. You should figure out which symptom causes you the most problems and try to treat that first. For example, if sleep problems affect you the most, you might first try using good sleep habits. If those do not help, you may need to take medicines or see a sleep specialist. Strategies such as learning new ways to manage activity can also be helpful. You need to make sure that you do not ""push and crash."" This can happen when you feel better, do too much, and then get worse again. When you have ME/CFS, it can be hard to help develop a treatment plan. It can also be difficult to try to take care of yourself. So it's important that you have support from family members and friends. There are also various resources and strategies that might be helpful to you, such as: • Getting counseling to help you cope with the illness and its impact on your life. • Eating a healthy diet. • Nutritional supplements, if your provider suggests them. • Complementary therapies such as meditation, gentle massage, or relaxation therapy. Make sure to talk to your provider before you try any new treatments. Some treatments that are promoted as cures for ME/CFS are unproven, often costly, and could be dangerous. Centers for Disease Control and Prevention","MedlinePlus (NLM, public domain)",Myalgic Encephalomyelitis/Chronic Fatigue Syndrome
What is (are) Acne ?,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars. No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse. If you have acne: • Clean your skin gently • Try not to touch your skin • Avoid the sun Treatments for acne include medicines and creams. NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases","MedlinePlus (NLM, public domain)",Acne
What is (are) Hidradenitis Suppurativa ?,"Hidradenitis suppurativa (HS) is a chronic skin disease. Another name for it is acne inversa. It causes painful, boil-like lumps that form under the skin. It often affects areas where the skin rubs together, such as your armpits and groin. The lumps become inflamed and painful. They often break open, causing abscesses that drain fluid and pus. As the abscesses heal, they can cause scarring of the skin.","MedlinePlus (NLM, public domain)",Hidradenitis Suppurativa
What causes Hidradenitis Suppurativa ?,"The lumps in HS form because of blockages of the hair follicles. The blocked hair follicles trap bacteria, which leads to inflammation and rupture. In most cases, the cause of the blockages is unknown. Genetics, environment, and hormonal factors may play a role. Some cases of HS are caused by changes in certain genes. HS is not caused by bad hygiene, and it cannot be spread to others.","MedlinePlus (NLM, public domain)",Hidradenitis Suppurativa
